cycle_id,record_date,survival_rate,SR_predict
7273,2021-01-22,0.5013333333333334,0.958970080294085
7273,2021-02-05,0.4658133333333333,0.9119613844061921
7273,2021-02-19,0.43748,0.8393007534169237
7273,2021-03-05,0.41759999999999997,0.7502813919861863
7276,2021-01-22,0.5013333333333334,0.958970080294085
7276,2021-02-05,0.4658,0.9119613844061921
7276,2021-02-19,0.4304133333333333,0.8393007534169237
7276,2021-03-05,0.41052,0.7502813919861863
7277,2021-01-22,0.5013333333333334,0.958970080294085
7277,2021-02-05,0.4658,0.9119613844061921
7277,2021-02-19,0.43745333333333336,0.8393007534169237
7277,2021-03-05,0.41756000000000004,0.7502813919861863
7289,2021-01-22,0.5013333333333334,0.958970080294085
7289,2021-02-05,0.4658,0.9119613844061921
7289,2021-02-19,0.43745333333333336,0.8393007534169237
7289,2021-03-05,0.41756000000000004,0.7502813919861863
7293,2021-01-22,0.5013333333333334,0.958970080294085
7293,2021-02-05,0.4658,0.9119613844061921
7293,2021-02-19,0.43745333333333336,0.8393007534169237
7293,2021-03-05,0.41756000000000004,0.7502813919861863
7303,2021-01-22,0.5013333333333334,0.958970080294085
7303,2021-02-05,0.4658,0.9119613844061921
7303,2021-02-19,0.43745333333333336,0.8393007534169237
7303,2021-03-05,0.41756000000000004,0.7502813919861863
7605,2021-05-29,0.9925437743376164,0.9535721778231094
7605,2021-06-02,0.9868076293779106,0.9452708890422888
7605,2021-06-07,0.9808006956601334,0.9344468910834584
7606,2021-03-28,0.9666362735381566,0.9943087299938536
7606,2021-04-10,0.9613505120581434,0.9870070420489236
7606,2021-06-04,0.9579253386190948,0.8814113682554462
8007,2021-03-04,0.8729335346050043,0.9992808612698082
8007,2021-03-05,0.8068584846682829,0.999119109281799
8008,2021-04-12,0.9951159951159951,0.998122574309246
8139,2021-03-04,0.99565,0.9954609550222718
8139,2021-03-05,0.98985,0.9945407315191636
8139,2021-03-07,0.9797,0.9926592212018259
8139,2021-03-09,0.97245,0.9897335448329413
8259,2021-05-30,0.9970729129032689,0.9694512144286145
8259,2021-06-03,0.9941876413364913,0.9630298713123074
8259,2021-06-05,0.9906099045936868,0.9593555215661809
8259,2021-06-08,0.9903857733531372,0.9543111190718478
8265,2021-05-30,0.9951419141914192,0.9613164922230475
8265,2021-06-03,0.98793399339934,0.9521266373687269
8265,2021-06-06,0.9823410341034103,0.94484899493848
8265,2021-06-08,0.9763564356435643,0.94034658124953
8266,2021-06-05,0.9964207980652963,0.9551591083030335
9106,2021-05-15,0.9956525252525252,0.9962324737747692
9106,2021-05-16,0.987030303030303,0.9959271216808652
9106,2021-05-17,0.973830303030303,0.9955413842395955
9990,2021-07-09,0.892,0.9820809603082367
10195,2021-08-09,0.99997,0.984887421617391
10195,2021-08-12,0.99747,0.9847235345808738
10195,2021-08-13,0.99267,0.9845587463728148
10195,2021-08-14,0.98827,0.984155519469238
10195,2021-08-15,0.98497,0.9837894154889565
10195,2021-08-16,0.98197,0.9833645856610554
10195,2021-08-17,0.97912,0.9826900452318992
10195,2021-08-18,0.97903,0.9823222541187318
10195,2021-08-19,0.97885,0.98195269276047
10196,2021-06-14,0.9777777777777777,0.9880466337045343
10201,2021-07-25,0.9583333333333334,0.9874359365237017
10201,2021-07-26,0.9416666666666667,0.9879177782972348
10203,2021-07-21,0.9777777777777777,0.9963294686789428
10203,2021-07-23,0.9555555555555556,0.9958368114041167
10203,2021-07-25,0.9333333333333333,0.9947068584499775
10203,2021-07-27,0.9166666666666666,0.9933631374385331
10241,2021-07-22,0.99875,0.9916753745971403
10241,2021-07-23,0.9944,0.9911546871801967
10241,2021-07-24,0.9857,0.9906076033482614
10241,2021-07-25,0.9675,0.9900334144483321
10241,2021-08-27,0.967175,0.9505953800176056
10241,2021-09-07,0.967,0.9147184403539512
10258,2021-07-24,0.9375,0.987531790860402
10258,2021-07-25,0.875,0.9842129003807223
10258,2021-07-26,0.825,0.9837942668077267
10258,2021-07-27,0.8125,0.9832365872410384
10366,2021-08-23,0.998375,0.9909115753638903
10366,2021-08-24,0.9971625,0.990343517401902
10366,2021-08-25,0.9961875,0.9898254778857386
10366,2021-08-27,0.9953,0.9883986019013242
10367,2021-08-24,0.997725,0.9814985680327883
10367,2021-08-25,0.9964416666666667,0.9804990875191448
10367,2021-08-27,0.995025,0.9777565730758891
10384,2021-07-22,0.8571428571428572,0.7977430970492894
10737,2021-08-15,0.9941333333333333,0.9856450593312003
10737,2021-08-16,0.9912,0.9842988946491956
10737,2021-08-17,0.9892933333333334,0.9838120764720903
10737,2021-08-18,0.98658,0.9833077921121776
10737,2021-08-19,0.9836466666666667,0.9821694975007206
10737,2021-08-20,0.98108,0.9809743729629995
10737,2021-08-21,0.9785133333333333,0.9795787356751614
10737,2021-08-22,0.9759466666666666,0.9784064192974034
10737,2021-08-23,0.97376,0.9765878043255389
10763,2021-08-16,0.99967,0.9944881768411935
10763,2021-08-26,0.98887,0.9923664708089717
10763,2021-08-27,0.97787,0.9917875259936935
10764,2021-08-17,0.99615,0.9784031239835365
10764,2021-08-19,0.99425,0.9764538694201843
10764,2021-08-22,0.99065,0.9746331127730387
10764,2021-08-24,0.9869,0.9742516297408493
10764,2021-08-27,0.9857,0.9666786469743035
11042,2021-08-24,0.9996,0.9557962338203585
11042,2021-08-25,0.9986,0.9517516270906766
11042,2021-08-26,0.8986,0.9471123139161322
11042,2021-08-27,0.8869400000000001,0.9436110507769726
11081,2021-08-26,0.9999567474048443,0.9934647690381946
11081,2021-08-29,0.9999134948096886,0.9917393044962182
